Abbr,State,REGION,County,POPEST2012,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,Median,MaleLifeEx2010,FemaleLifeEx2010,Uninsured2014,obesity,YPLS,DaysPoorHealth,DaysPoorPhys,DaysPoorMental,LBirthWeight,FoodEnvIndex,PercPhysicallyInactive,PercAccessExercise,PercDaibetes,PercMam,GradRate,PercSomeCollege,PercUnemployed,PercChildrenPov,PercNoEmoSupport,PercSingleParentHouseholds,ViolentCrimeRate,InjuryDeathRate
IN,Indiana,Midwest,Rush,17095,96.820377,0.74172,1.092456,0.327737,47418,74.5,79,14.8,32.6,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38,9158.38
IN,Indiana,Midwest,St. Joseph,266344,75.562973,12.515219,7.265923,1.867524,46388,75.2,79.9,14.5,28.8,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05,7377.05
IN,Indiana,Midwest,Scott,23791,97.06381,0.215045,1.463959,0.43009,41649,71.2,76.5,14.2,28.9,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33,11137.33
IN,Indiana,Midwest,Shelby,44471,93.667297,0.963183,3.706454,0.544603,54831,73.9,79.1,12.6,31.5,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63,7528.63
IN,Indiana,Midwest,Spencer,20837,95.938335,0.45819,2.467545,0.329324,54468,75.6,80.9,12.8,28.7,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09,5970.09
IN,Indiana,Midwest,Starke,23213,95.073407,0.269657,3.278689,0.175491,43740,72.5,76.5,14.9,35.7,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57,11000.57
IN,Indiana,Midwest,Steuben,34124,95.108966,0.453415,2.872605,0.473892,50078,77.1,81.3,14.2,33.6,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21,6540.21
IN,Indiana,Midwest,Sullivan,21188,92.805588,4.405122,1.369034,0.181607,43933,72.6,78.6,14.2,33,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12,9946.12
IN,Indiana,Midwest,Switzerland,10424,97.22039,0.292095,1.385094,0.169603,47606,73.2,79.1,15.7,30.9,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1,9165.1
IN,Indiana,Midwest,Tippecanoe,177513,80.365204,3.895706,7.493344,6.180692,46276,76.8,80.7,14.2,25,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93,5825.93
IN,Indiana,Midwest,Tipton,15695,96.354167,0.175703,2.171185,0.401606,55008,76.2,79.2,12.2,31.5,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81,7538.81
IN,Indiana,Midwest,Union,7362,96.860032,0.439063,1.091006,0.252794,47410,75.2,80.4,13.5,31.7,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03,9000.03
IN,Indiana,Midwest,Vanderburgh,180858,85.185,9.030456,2.155223,1.105157,42622,74.6,79,12.4,34.2,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11,8010.11
IN,Indiana,Midwest,Vermillion,16040,97.841105,0.129534,0.801875,0.191216,44388,73.6,78,13.1,30.9,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91,9681.91
IN,Indiana,Midwest,Vigo,108428,86.742452,6.834619,2.289333,1.647689,41260,73.3,78.5,14.6,32.9,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67,8523.67
IN,Indiana,Midwest,Wabash,32361,95.381294,0.471297,2.119314,0.407443,45151,74.4,80.2,13.5,31.2,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59,8579.59
IN,Indiana,Midwest,Warren,8342,97.802069,0.117536,0.822755,0.423131,55925,74.3,80.7,12.3,27.3,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46,6419.46
IN,Indiana,Midwest,Warrick,60463,93.97879,1.306773,1.584882,1.60331,65793,77.1,80.4,9.9,28,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66,5704.66
IN,Indiana,Midwest,Washington,27921,97.441795,0.222914,1.075649,0.304296,43573,72.6,77.9,16.1,27.9,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55,8953.55
IN,Indiana,Midwest,Wayne,68346,88.979497,4.859469,2.617642,0.757433,40929,73.4,78.5,15.3,30.6,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48,8063.48
