Abbr,State,REGION,County,POPEST2012,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,Median,MaleLifeEx2010,FemaleLifeEx2010,Uninsured2014,obesity,YPLS,% Fair/Poor health,POPMaleLifeEx,POPUninsured,POPobesity,POPYPLS,POPDaysPoorHealth,DaysPoorPhys,DaysPoorMental,LBirthWeight,FoodEnvIndex,PercPhysicallyInactive,PercAccessExercise,PercDaibetes,PercMam,GradRate,PercSomeCollege,PercUnemployed,PercChildrenPov,PercNoEmoSupport,PercSingleParentHouseholds,ViolentCrimeRate,InjuryDeathRate
AL,Alabama,Southeast,Autauga,55514,77.246156,17.582599,2.400542,0.855766,54366,73.3,78.8,11,30.9,8376.42,22.8,4069176.2,610654,1715382.6,465008579.9,1265719.2,5.1,3.6,9.3,7.445188843,29.4,59.29889502,86.82170543,66.58823529,80,54.73219825,6.452119309,18.5,23.7,30.12494851,30.12494851,69.6
AL,Alabama,Southeast,Baldwin,190790,83.504787,9.308425,4.384824,0.735193,49626,75,80.3,16.1,26.7,7770.16,12.7,14309250,3071719,5094093,1482468826,2423033,3.3,3.8,8.9,7.993460624,27.6,58.02265932,80.2134647,67.08310701,74,61.78453433,6.765938646,20.5,19.3,27.87998666,27.87998666,76.2
AL,Alabama,Southeast,Barbour,27201,46.753105,46.69119,5.051535,0.3897,34971,72.2,77.2,15.3,40.8,9458.14,23.4,1963912.2,416175.3,1109800.8,257270866.1,636503.4,4.8,4.3,12.3,5.403317403,35,11.47612631,87.63796909,64.53900709,60.64006024,41.40708915,11.17957747,47,17.6,55.90787717,55.90787717,52.7
AL,Alabama,Southeast,Bibb,22597,75.020729,21.924504,1.771765,0.096007,39546,71.5,76.8,13.6,40.1,11543.9,17.9,1615685.5,307319.2,906139.7,260857508.3,404486.3,4.7,5.1,12.7,7.798603036,37,18.25005455,82.74760383,61.95652174,73,44.19817471,7.640647363,27.2,29.1,39.28164196,39.28164196,98.1
AL,Alabama,Southeast,Blount,57826,88.887338,1.26304,8.0702,0.200621,45567,73.1,78.6,16.5,32.4,8505.64,24.2,4227080.6,954129,1873562.4,491847138.6,1399389.2,5.9,3.9,7.7,8.648064123,35,15.18090785,83.50877193,62.75659824,81.03085554,46.27605404,6.218225966,23.1,14.3,25.33629078,25.33629078,89.3
AL,Alabama,Southeast,Bullock,10474,21.916804,69.974345,7.119296,0.183251,26580,67.2,76.4,17.3,44.5,9883.66,23,703852.8,181200.2,466093,103521454.8,240902,4.2,0,13.7,3.702147309,32.5,28.82536192,81.37254902,48.51485149,72.5,35.95364861,13.38805548,43.2,0,65.42173731,65.42173731,102.5
AL,Alabama,Southeast,Butler,20307,54.060247,43.189956,0.911825,0.830668,32512,69.4,78.1,14.4,36,11005.65,19.9,1409305.8,292420.8,731052,223491734.6,404109.3,3.9,3.5,10.4,6.352247144,36.9,47.32419917,77.60532151,58.05084746,72,46.16977226,10.85027519,42.1,27.6,49.38619441,49.38619441,70.8
AL,Alabama,Southeast,Calhoun,117296,73.613501,20.390143,3.283237,0.699997,41123,70.8,75.8,14.2,32,11097.28,22.7,8304556.8,1665603.2,3753472,1301666555,2662619.2,5.2,5.1,9,6.641993038,33.3,40.51293729,79.72789116,55.17762661,78.72233677,50.79635176,7.572748797,31.4,22.4,38.75954414,38.75954414,78.4
AL,Alabama,Southeast,Chambers,34064,58.141166,38.597107,1.566564,0.485167,34116,70.1,76.4,14.9,39.8,10367.83,38.5,2387886.4,507553.6,1355747.2,353169761.1,1311464,5,4.3,11.7,6.070974949,38.7,34.3504311,83.86683739,65.81986143,79.9875,47.07966764,9.277576915,34.7,32.6,51.64821015,51.64821015,77.5
AL,Alabama,Southeast,Cherokee,26021,92.07357,4.640425,1.23129,0.188541,38013,72.2,77.1,14.6,32.7,9408.68,24.2,1878716.2,379906.6,850886.7,244823262.3,629708.2,6.1,5.2,8.9,8.166343916,34.2,14.91784986,88.37675351,59.61538462,72,53.46534654,7.10606722,29.9,23,25.82893745,25.82893745,80.9
AL,Alabama,Southeast,Chilton,43819,81.101208,9.557088,7.836308,0.286415,41450,70.8,76.9,17.7,37.1,10330.43,20.5,3102385.2,775596.3,1625684.9,452669112.2,898289.5,4.6,4.9,9.8,8.104912606,31.5,42.65517953,86.75496689,61.05263158,73,43.33563536,6.516064257,30.2,22.6,29.92365008,29.92365008,99.3
AL,Alabama,Southeast,Choctaw,13633,55.559564,43.221012,0.526734,0.086586,35049,71.5,78.6,14.3,38.7,11985.42,31.6,974759.5,194951.9,527597.1,163397230.9,430802.8,5.6,4.6,11.6,5.999649346,37.9,30.30521683,84.12698413,55.39906103,77.5,43.5016835,8.954326923,30.1,26.8,45.70780693,45.70780693,80.7
AL,Alabama,Southeast,Clarke,25161,53.9736,43.66508,1.049046,0.286455,36620,72.3,77.4,15.1,36.1,9309.47,21.8,1819140.3,379931.1,908312.1,234235574.7,548509.8,4.4,3,12.9,5.143735803,37,12.51500019,78.78787879,62.74509804,77.90909091,45.84940466,12.12628058,31.8,27.7,48.07571965,48.07571965,72.3
AL,Alabama,Southeast,Clay,13435,80.28998,14.699971,2.86391,0.165088,35940,71.7,76.6,17.8,37.7,9914.91,28.6,963289.5,239143,506499.5,133206815.9,384241,6,5.3,10.7,7.462189551,39.4,21.10967557,85.71428571,60.78431373,82.5,40.9221902,9.318001586,30,26.6,34.78823149,34.78823149,65.5
AL,Alabama,Southeast,Cleburne,14832,93.213999,3.299492,2.050494,0.15362,40418,71.7,76.6,14.3,30,10738.45,20,1063454.4,212097.6,444960,159272690.4,296640,5.9,5.2,8.5,8.443377688,34.7,28.41303767,86.39705882,48.80952381,92,47.05563094,6.919642857,26,24.5,30.39843968,30.39843968,85
AL,Alabama,Southeast,Coffee,51252,72.343237,16.531192,6.366621,1.25931,46931,74.1,78.4,15,30.2,8402.75,18.4,3797773.2,768780,1547810.4,430657743,943036.8,3.5,3.6,8.9,7.391403319,30.6,18.81156403,86.09062171,66.96750903,84.77658143,59.41029334,6.191193075,22.5,22.7,36.28288922,36.28288922,67.9
AL,Alabama,Southeast,Colbert,54446,79.617109,15.988094,2.008158,0.411553,43057,70.4,77.8,13,36.6,10591.14,25.9,3832998.4,707798,1992723.6,576645208.4,1410151.4,4.4,4.8,10.2,7.493693421,30.7,52.07981186,89.21496698,64.04341927,75.61890244,56.35042081,7.564775139,25.3,20.7,33.06546124,33.06546124,77.1
AL,Alabama,Southeast,Conecuh,12981,51.133958,46.280617,1.217115,0.128515,29101,69.4,78.1,16.6,37.2,12941.65,18.3,900881.4,215484.6,482893.2,167995558.7,237552.3,4.4,5.2,12.4,4.776146729,37.3,2.819776232,73.71794872,58.18181818,77.5,40.59068535,11.6419295,46.3,0,47.93745842,47.93745842,116.5
AL,Alabama,Southeast,Coosa,10966,65.898258,30.817229,1.99324,0.121328,34679,70.8,76.9,15.5,38.8,11435.34,25.8,776392.8,169973,425480.8,125399938.4,282922.8,4,4.6,12.4,6.946556973,31.8,17.63584366,80.5,57.57575758,47.5,29.42073171,8.178175819,31.1,0,41.58632778,41.58632778,101.2
AL,Alabama,Southeast,Covington,37955,84.075202,12.405667,1.278962,0.391897,36149,72.2,77.5,15.4,31.6,9829.79,25,2740351,584507,1199378,373089679.5,948875,4.2,5.2,9.5,7.605558416,38.5,47.78763405,82.58928571,63.38028169,77.0418251,49.15174915,7.523567803,34,15.1,39.36608931,39.36608931,83
AL,Alabama,Southeast,Crenshaw,14083,72.055228,23.306486,1.466993,1.359126,34445,70.2,76.4,16.3,36.6,9645.21,20.3,988626.6,229552.9,515437.8,135833492.4,285884.9,4,3.8,8.9,6.181910691,33.9,30.39695096,76.72727273,57.14285714,87.5,43.40361446,7.211389663,29,17.7,45.03311258,45.03311258,86.1
